accX,accY,accZ,gyroX,gyroY,gyroZ
0.881,3.314,7.184,-0.047,-0.284,-0.457
0.881,3.314,7.184,-0.047,-0.284,-0.457
0.881,3.314,7.184,-0.047,-0.284,-0.457
0.881,3.314,7.184,-0.047,-0.284,-0.457
0.172,2.759,6.705,-1.954,-1.46,0.353
2.95,0.69,10.154,-2.032,0.52,0.625
3.487,1.322,9.119,-1.039,0.736,-0.197
2.855,0.556,11.763,0.136,-0.472,0.8
2.356,-0.249,10.652,-0.166,0.418,0.227
0.038,-0.958,4.732,-1.264,-1.703,0.16
-0.421,-3.276,3.391,-2.652,-2.536,2.487
4.406,-6.82,7.682,-2.81,-0.049,0.974
3.952,-4.699,4.307,1.181,-1.242,-0.81
-0.29,-0.72,0.332,0.089,0.705,2.86
-0.077,-0.504,0.535,-0.266,1.069,2.95
-0.087,-0.508,0.826,-0.225,0.97,2.945
-12.198,-23.804,20.97,3.011,4.726,-4.038
2.977,0.292,12.681,-1.488,-8.5,0.565
2.138,3.177,13.37,1.227,-0.918,-0.504
0.53,1.108,9.718,0.172,-0.118,-0.459
0.371,0.054,9.867,-0.032,0.009,0.001
0.353,0.007,9.909,0.004,0.003,0.001
0.308,0.125,10.019,-0.051,0.041,0.004
0.265,0.027,9.923,-0.089,0.071,0.006
0.097,-0.118,9.982,-0.104,0.078,0.001
0.153,-0.254,9.836,-0.002,0.059,0.001
0.115,0.108,9.966,0.158,-0.021,0.002
0.196,-0.199,9.777,0.058,-0.121,0.001
0.253,-0.157,10.22,0.189,-0.117,-0.002
0.367,0.457,9.998,0.167,-0.042,0.007
